Date,Mean Temp C,Mean Min Temp C,Mean Max Temp C,Abs Min Temp C,Abs Max Temp C,Projected
2018-01-07,3.1702283093261014,-1.9921339918782317,7.995939634286182,-22.8,23.9,False
2018-01-06,0.9901888787834433,-3.398116642266877,5.646297826528431,-23.3,22.8,False
2018-01-05,0.869857845091754,-3.2988656256694333,5.768279480460394,-23.3,24.24435470646113,False
2018-01-04,1.788834138605359,-2.3961923675236334,6.3450272082407855,-20.6,25.6,False
2018-01-03,1.201827321989151,-3.9748745889259207,6.4178161270883285,-19.4,24.20125860938013,False
2018-01-02,-1.2295239224063896,-5.1941501807850425,3.752925418268961,-23.3,27.2,False
2018-01-01,-2.982540570989417,-6.929475381324724,1.6328758024638348,-26.7,23.3,False
2017-12-31,-0.908337048502748,-4.56369827693266,3.268810290869815,-26.1,20.6,False
2017-12-30,2.032368076664195,-2.293026917857642,6.848414225995154,-25.6,24.4,False
2017-12-29,2.738433967644328,-2.073394628784744,7.955456263636994,-24.4,29.4,False
2017-12-28,0.5836808418167946,-3.5411105256960074,5.005526004912718,-20.6,28.9,False
2017-12-27,0.7937898521877402,-3.2183696180642514,5.379895461799379,-22.2,26.7,False
2017-12-26,1.39330393318933,-1.637012618357028,5.007786186944991,-22.2,20.47286815349295,False
2017-12-25,2.868730131910482,-1.149899616636004,7.04390873471246,-21.1,21.7,False
2017-12-24,5.065434331759013,1.2837694683241987,9.190428658247763,-19.4,23.9,False
2017-12-23,7.013087079307947,3.0536649933358895,12.27932184604034,-13.9,22.2,False
2017-12-22,7.845120411053333,3.016598085513193,13.031337075730507,-12.2,27.2,False
2017-12-21,7.685846463224624,3.2971993059720845,11.998072444999899,-15.0,26.1,False
2017-12-20,9.306727041558604,5.174934598564196,13.02083498625022,-7.8,26.1,False
2017-12-19,11.10332858669141,6.493128549438279,15.766618513931657,-5.6,26.1,False
2017-12-18,9.24611071498406,5.1104916154794315,14.085419669517186,-13.3,32.2,False
2017-12-17,7.4943787441632175,3.8280935356624135,11.019507793316654,-15.0,22.2,False
2017-12-16,6.511007737611553,1.7436724343872427,11.552815726599341,-11.7,19.4,False
2017-12-15,5.215517179636819,0.7471418080876802,9.911911190603966,-13.3,26.7,False
2017-12-14,5.458652348811954,0.8105112765058494,10.726516028449042,-11.1,25.6,False
2017-12-13,5.516916805488413,-0.6412094532352917,12.218418856570848,-12.2,27.8,False
2017-12-12,6.97949731769995,1.0725020244169747,12.811387436672401,-14.4,28.3,False
2017-12-11,8.484092054431002,2.4568845362052563,15.011308645196335,-8.9,26.7,False
2017-12-10,6.345948097547007,0.9019154809122478,12.443195680078276,-6.7,28.3,False
2017-12-09,5.365715984106551,0.5476387149060934,10.762488595497842,-7.8,28.3,False
2017-12-08,4.563645869399357,0.5132041198507111,9.230928419510699,-7.8,25.6,False
2017-12-07,6.338060914916236,2.210358188267695,10.33678103769937,-13.3,25.6,False
2017-12-06,7.693988565930262,3.6378875813641165,13.103699495719983,-8.9,25.6,False
2017-12-05,10.579680478459531,5.824209997969547,16.011721495314767,-8.9,28.9,False
2017-12-04,12.170442467044602,6.139793849571269,17.234100763108387,-7.2,28.3,False
2017-12-03,11.852048262671865,6.930159123387225,17.04801032048866,-3.9,26.1,False
2017-12-02,10.869575135233116,6.084685916227818,16.42949359121625,-3.9,28.040148409314533,False
2017-12-01,11.312763014157948,6.38744255859912,16.844478100798387,-3.3,25.0,False
2017-11-30,11.156222258655138,5.924360540041895,17.10554228205983,-7.8,27.2,False
2017-11-29,12.285726228515268,6.946007697997097,18.249939885871214,-4.4,24.4,False
2017-11-28,11.905735768463703,5.67140627909977,18.07030219176986,-8.3,25.6,False
2017-11-27,11.597755525768068,5.819693956964221,17.675759964335988,-6.7,26.7,False
2017-11-26,11.41362237259265,6.343001071547687,17.181928507839636,-3.3,30.854669563791408,False
2017-11-25,13.061548353939761,6.977295244739801,19.615692430524074,-1.7,30.0,False
2017-11-24,11.853865597354844,5.170138363884701,18.928206964947034,-3.9,30.6,False
2017-11-23,10.398412060672378,5.190399785579739,16.66647790512947,-5.6,33.9,False
2017-11-22,11.459549922263648,6.091090043812572,16.679034501881816,-9.4,34.4,False
2017-11-21,12.533629952323778,6.489813909206479,18.749460850701315,-7.2,32.2,False
2017-11-20,9.549628805622257,4.178891498500875,15.039846414339188,-5.0,24.821367661528374,False
2017-11-19,10.08676424634719,4.579948052704589,15.546827534553266,-7.8,27.8,False
2017-11-18,12.33746520912843,5.91927455050475,18.05453740773976,-6.1,28.9,False
2017-11-17,12.89799002493916,8.84731963785096,17.35075318289709,-5.0,29.4,False
2017-11-16,13.077116176307399,9.028705841135364,17.533806637491654,-2.8,29.281325844539193,False
2017-11-15,12.429031396657097,7.6493465836673025,17.159643420274755,-5.0,28.3,False
2017-11-14,11.757252757513413,7.346952320660622,16.371778262783316,-0.6,29.190029517874713,False
2017-11-13,11.528441591618318,7.740896179084415,16.188324571394805,-5.6,30.6,False
2017-11-12,10.55283250311319,6.615056327935203,14.647851558948675,-6.1,28.538098556903897,False
2017-11-11,8.86098827902909,4.268895208358905,13.70637537534457,-7.8,28.9,False
2017-11-10,8.577589415433136,3.781781402279275,13.715520038426721,-11.7,29.149081666120036,False
2017-11-09,10.993971348801326,7.177001907211598,15.45593688695009,-11.1,29.4,False
2017-11-08,10.369220170766587,6.922117876260124,14.25049347035257,-3.9,28.031744014430963,False
2017-11-07,12.228784004708901,8.670146433617422,16.21892115293962,-7.8,30.6,False
2017-11-06,14.646061147909357,10.469724916323468,19.06824895054541,-8.9,31.1,False
2017-11-03,14.949188579238786,10.871442208903943,19.147303826429642,-8.9,31.7,True
2017-11-04,15.349812466572958,11.33949012801514,19.35780358561651,-3.3,31.7,False
2017-11-03,16.542329198674057,12.153538525633452,21.315070395597907,-3.9,30.6,False
2017-11-02,17.201899486447417,13.32306225959461,21.754537384251226,-2.8,34.4,False
2017-11-01,14.165191540036696,9.979501464170639,18.944409977051528,-2.8,28.3,False
2017-10-31,11.901575707235587,8.20977636065361,16.02928391609711,-2.8,27.2,False
2017-10-30,12.912395974447733,8.211037753243762,18.1618701014693,-1.7,29.4,False
2017-10-29,13.075283113780294,8.206036500248718,18.231282831002563,-1.7,32.54902017054772,False
2017-10-28,13.410183414006077,8.617861454091129,18.829432477462916,-1.1,32.8,False
2017-10-27,14.273438746976392,8.590780719405062,20.733607848293605,-10.6,32.09021400459167,False
2017-10-26,16.260246812468676,9.946113812424624,23.24542112533541,-2.8,33.9,False
2017-10-25,16.4303966908188,10.818290626301108,22.80351738659323,0.0,37.8,False
2017-10-24,18.974272423447836,13.910347968244285,24.466005785372403,0.0,39.4,False
2017-10-23,18.976303674038203,12.95179668559272,25.192109141396383,0.0,38.9,False
2017-10-22,19.027336558159575,12.960563596594067,25.407118721587064,0.0,33.9,False
2017-10-21,18.986772926823647,13.782720381786815,24.80288276220036,0.0,31.7,False
2017-10-20,18.64560257844997,13.652716064248377,24.080517585291012,0.0,31.1,False
2017-10-19,17.894270183874198,12.450867681754682,24.184981185908377,0.0,34.759105444408014,False
2017-10-18,17.632888650240755,11.256928416182614,24.901022040817672,0.0,35.0,False
2017-10-17,16.034580303393415,10.148265931743522,23.026634868810945,0.0,35.44873729091505,False
2017-10-16,17.44376283335383,11.34366267003861,24.33994370177402,0.0,36.7,False
2017-10-15,19.664026546638674,13.856976417749856,26.311141129344605,-4.4,35.6,False
2017-10-14,20.366924903849743,15.593732300500557,26.020191990732407,-1.7,33.9,False
2017-10-13,18.578067354195866,13.698073160875522,23.924320404195054,0.0,34.123331420137745,False
2017-10-12,18.597298525834848,14.528294141800977,23.098661747193937,0.0,33.9,False
2017-10-11,18.683818963535582,14.736335131591833,23.487498410483262,0.0,35.29073466710397,False
2017-10-10,20.76015835417996,15.988258719094329,26.028447796180085,-1.7,32.8,False
2017-10-09,21.895848977405308,17.826362179912408,26.976986991246076,-0.6,35.6,False
2017-10-08,22.207036834673797,17.605423952618686,27.258743928189453,0.0,33.9,False
2017-10-07,22.37734735311387,16.776013558604067,28.728175043189836,0.0,35.462782879632655,False
2017-10-06,22.068588136307017,16.52788705851571,28.22076576469492,0.0,35.6,False
2017-10-05,21.037894990234946,15.608079829018232,27.24538258636021,0.0,35.818834043948826,False
2017-10-04,20.832314711854597,15.500113396145156,26.66957600701963,0.0,36.7,False
2017-10-03,19.7670711113743,15.348933201062405,24.899846997354736,0.0,34.638090357494264,False
2017-10-02,19.835697269099864,14.63324444091482,25.49097013460452,0.0,33.9,False
2017-10-01,18.669305588795854,13.556355603367805,24.34986055286109,0.0,36.387909970482134,False
2017-09-30,19.617047879288467,14.998889510036552,24.837192837625416,0.0,36.7,False
2017-09-29,20.214661861450463,15.425685342542401,25.46205019355969,0.0,35.48174811413578,False
2017-09-28,22.424931961766326,16.838138227416326,28.219150650149384,0.0,34.4,False
2017-09-27,23.335747501766743,18.32312805560832,29.40151903311872,0.0,33.300000000000004,False
2017-09-26,23.94881781026614,18.863012448139557,29.948826691926318,0.0,33.9,False
2017-09-25,23.34357821052933,17.89002466055358,29.286417120315384,0.0,33.3,False
2017-09-24,23.69865922140635,18.014990486760766,29.950454408597746,0.0,33.3,False
2017-09-23,22.924287566320775,17.93937589852661,28.53729702268322,0.0,35.0,False
2017-09-22,23.31946709818311,18.634217654624056,28.68572388729169,0.0,35.0,False
2017-09-21,23.396518777540088,19.31161570413755,28.02159504550531,0.0,35.6636561167596,False
2017-09-20,24.068918744463033,19.19316406643305,29.370475894161924,0.0,37.2,False
2017-09-19,22.71514748448712,18.915532171556833,27.483973487667495,0.0,36.84931124959003,False
2017-09-18,22.876023800170152,18.68957257458772,27.66579315956722,0.0,36.7,False
2017-09-17,22.85158005852041,18.46823807029097,28.030777541150794,0.0,35.81768202689407,False
2017-09-14,22.933344501968136,18.364350815846926,28.059546194087,0.0,35.81768202689407,True
2017-09-15,23.11399155273333,18.327985034076335,28.22133186841161,0.0,35.803636438176454,False
2017-09-14,23.316140354362382,18.827886958880953,28.424002716730758,0.0,37.8,False
2017-09-13,22.138284236192586,17.89449653340965,27.10217188324871,0.0,40.7481674319449,False
2017-09-12,22.659899802999504,17.7321575256543,27.99199368179366,0.0,42.2,False
2017-09-11,21.78449060997224,16.862722482098107,27.734066838826536,0.0,40.93192030173827,False
2017-09-10,21.81316205294484,16.24041916965913,28.043854344221874,0.0,40.6,False
2017-09-09,20.61789868482549,15.960524509582765,25.92392199169108,0.0,34.4,False
2017-09-08,21.065081340202102,16.20695612947983,26.554134124562726,0.0,36.7,False
2017-09-07,20.625752226750745,15.740133155460109,26.08044063001029,0.0,39.20736716956379,False
2017-09-06,21.885895980133007,17.744305056078492,26.8886889010702,0.0,42.2,False
2017-09-05,23.96070628805469,19.555356337726685,28.960550478286073,0.0,40.920207445063966,False
2017-09-04,25.34257523319348,19.99214325208777,31.143364089712502,0.0,40.0,False
2017-09-03,24.553949815704723,19.34016196627375,30.493419378728387,0.0,41.1,False
2017-09-02,24.07675155634481,18.972971851255128,29.719687252054246,0.0,42.8,False
2017-09-01,23.537870536178577,18.404487264558583,28.946849978353203,0.0,43.19981551328304,False
2017-08-31,25.472947452319985,20.53619509731862,31.12264077325754,0.0,42.2,False
2017-08-30,24.039913297995444,19.091968821546605,29.348063996652957,0.0,42.10029107904232,False
2017-08-29,23.98162322441517,20.015718683868084,28.712102169699584,0.0,42.2,False
2017-08-28,23.594642057224892,19.517424019026237,28.543682894732466,0.0,42.8,False
2017-08-27,24.279143334440953,19.80566583566621,29.51982999183125,0.0,42.8,False
2017-08-26,23.5570694923557,18.961478152367413,28.881061217767343,0.0,42.62909560511642,False
2017-08-25,23.633312001038934,19.264593511685774,28.377327567865713,0.0,41.7,False
2017-08-24,23.21922423397579,19.275598499187577,28.035378169854503,0.0,39.06222122007215,False
2017-08-23,24.97109917956373,20.91462793867966,29.835725663826516,0.0,41.7,False
2017-08-22,26.086655844630283,21.158706032274623,31.514878474536705,0.0,41.41204083306002,False
2017-08-21,26.639308295313295,22.37766327656012,31.527964904082367,0.0,39.4,False
2017-08-20,25.8909306265094,21.116971215945433,30.93708477738844,0.0,39.4,False
2017-08-19,26.470592739973135,21.380044464831776,32.141807852747306,0.0,40.6,False
2017-08-18,25.44452074758637,21.1571285106818,30.56160548671047,0.0,40.0,False
2017-08-17,25.81621344322632,21.65114026326871,30.803733172212244,0.0,39.4,False
2017-08-16,25.412951687989057,21.02221596955094,30.51671578214847,0.0,38.04343227287635,False
2017-08-15,24.953656113773533,21.419967082743327,29.416803491443513,0.0,38.3,False
2017-08-14,24.30667667240182,20.31757413611864,28.73704386824198,0.0,38.670801902263044,False
2017-08-13,24.968581518165475,20.489132748577962,29.982499415482085,0.0,40.0,False
2017-08-12,24.42156906847551,20.228583829461357,29.796373495307993,0.0,39.4,False
2017-08-11,25.63890963528817,21.450816044282476,30.76766030676198,0.0,40.6,False
2017-08-10,25.515529900376087,20.57204995474849,31.289841849489978,0.0,42.2,False
2017-08-09,25.152955142710766,20.062656927247744,30.60433386745219,0.0,43.3,False
2017-08-08,24.47107203595053,19.952682449307293,29.697588307922928,0.0,41.7,False
2017-08-07,24.15804652671622,20.56425244376839,28.580123321140448,0.0,41.1,False
2017-08-06,24.62768839917134,20.344760741656305,29.36529276113007,0.0,40.0,False
2017-08-05,25.018288315517474,20.37006685762024,30.1309004143727,0.0,39.4,False
2017-08-04,25.5171404197867,21.02742175002042,30.422875211951943,0.0,38.3,False
2017-08-03,26.3661446204527,21.830259206554658,31.965834808201976,0.0,40.0,False
2017-08-02,26.328298969663273,22.053810387473707,31.84227067573381,0.0,41.7,False
2017-08-01,26.91413361631369,21.268675032061264,32.89599280239121,0.0,42.2,False
2017-07-31,25.66051646440388,19.838146923799222,31.346683533947264,0.0,41.1,False
2017-07-30,25.221656889153188,20.04651205591291,30.56200310183796,0.0,40.0,False
2017-07-29,25.19479846601352,20.95174960099627,30.05183572864413,0.0,40.6,False
2017-07-28,26.262329708318155,22.245334115369506,31.4237308732784,0.0,41.7,False
2017-07-27,26.430569714120175,21.829935184690548,31.50227798946574,0.0,42.2,False
2017-07-26,25.922476922880016,20.979038777042003,31.329252544913412,0.0,40.6,False
2017-07-25,25.054033448145745,20.640264863738892,29.985399840297923,0.0,38.3,False
2017-07-24,25.034954145100834,20.81034309085225,30.170621998907283,0.0,37.8,False
2017-07-23,26.7306777506545,22.092377974694614,32.14772256975667,0.0,42.8,False
2017-07-22,28.042779638665806,23.19852156456116,33.652127070360685,0.0,42.2,False
2017-07-21,28.069774246637056,23.212373326464935,33.510293973322725,0.0,40.6,False
2017-07-20,28.141955560687457,22.922864565705645,33.88698539569582,0.0,38.3,False
2017-07-19,27.65775723477533,22.237157689974065,33.170139424850866,0.0,38.3,False
2017-07-18,26.833644591121335,21.895050394637845,32.022461210001474,0.0,42.2,False
2017-07-17,26.29270795501332,21.34647630095816,31.769454106258586,0.0,41.7,False
2017-07-16,26.48732046111257,21.362861720966105,31.762292078927516,0.0,43.3,False
2017-07-15,26.130482435338298,21.113211772454484,31.995523401285116,0.0,44.4,False
2017-07-14,25.846711131711412,21.441645313399558,31.013097128209992,0.0,43.3,False
2017-07-13,27.179903199461794,22.478671173113035,32.308172548114214,0.0,42.2,False
2017-07-12,27.423590332931884,22.702908952611654,32.32545657728411,0.0,41.7,False
2017-07-11,26.963381655951874,22.195760508325982,32.35020658723582,0.0,40.6,False
2017-07-10,26.719257111011853,21.788540681702422,32.033586873601145,0.0,42.2,False
2017-07-09,26.58396874926304,21.131760135830877,32.47955468071536,0.0,42.2,False
2017-07-08,27.376589885988583,22.28244643828469,33.62051955332101,0.0,44.4,False
2017-07-07,27.125925972363323,21.852228753651055,33.01188612887483,0.0,46.1,False
2017-07-06,26.699676895952503,21.759799393276047,32.224238098399184,0.0,44.4,False
2017-07-05,26.39219606633761,21.200762050463396,32.00092093975029,0.0,44.4,False
2017-07-04,26.243989096205063,20.83881340715911,31.98434394761746,0.0,43.3,False
2017-07-03,26.269575035325612,21.199869808245456,31.944005385527078,0.0,41.7,False
2017-07-02,26.29128759871418,20.741677217473118,32.320411139569686,0.0,42.2,False
2017-07-01,24.982171949407643,20.744052823662784,30.061221262612648,0.0,44.4,False
2017-06-30,25.637656569055995,21.33227430228502,30.679684637042676,0.0,42.2,False
2017-06-29,24.827222148547428,19.800811896042756,30.035500720975055,0.0,41.7,False
2017-06-28,23.734212399900457,18.019949661444695,29.371411137182342,0.0,42.2,False
2017-06-27,23.762601544708186,18.249787610865827,29.26299808358033,0.0,42.8,False
2017-06-26,24.361108604358744,19.007006685248253,29.950838677372456,0.0,43.9,False
2017-06-25,24.73374333990863,19.65391548100864,30.45299302906842,0.0,45.6,False
2017-06-24,24.987883870659555,20.208556839954767,29.814018958948385,0.0,46.1,False
2017-06-23,26.11634616330072,21.814879337902546,30.988040870678407,0.0,44.4,False
2017-06-22,26.033474186962138,21.38283628156198,31.14079032353774,0.0,45.6,False
2017-06-21,26.047932675207498,20.71813254854488,31.458968792579128,0.0,46.7,False
2017-06-20,25.99269895910251,20.583581968389325,31.63939265276139,0.0,48.3,False
2017-06-19,25.937459346498063,20.961815780986406,31.86655216713986,0.0,47.2,False
2017-06-18,26.501552616973218,21.756248763865493,31.74407435879591,0.0,43.9,False
2017-06-17,25.440932336870443,20.51710345657277,30.692246084811792,0.0,42.8,False
2017-06-16,25.286565065514864,20.121811186954016,30.8782286686499,0.0,42.2,False
2017-06-15,25.047142271991756,19.777278877468294,30.6398448518997,0.0,41.7,False
2017-06-14,25.273956555080666,19.81477712656255,30.758686888366668,0.0,38.3,False
2017-06-13,25.470429897714908,20.289839432741303,30.93921977413883,0.0,36.1,False
2017-06-12,25.219428231946218,20.04612041769693,30.171980974602825,0.0,35.0,False
